row_number(),Sites of Use,Crop_Name
2529,NONCROP AREAS,
2530,CHINESE CELERY,
2531, WATERMELON (INCLUDES HYBRIDS AND/OR VARIETIES OF CITRULLUS LANATUS,
2532,CORN (INCLUDES SWEET CORN AND FIELD CORN),CORN
2533,CORN SALAD,CORN
2534,DOCK,
2535,EDIBLE-LEAVED CHRYSANTHEMUM,
2536,ENDIVE,
2537,FLORENCE FENNEL,
2538,GARDEN CRESS,
2539,GARDEN PURSLANE,
2540,GARLAND CHRYSANTHEMUM,
2541,HEAD LETTUCE,
2542,LEAF LETTUCE,
2543,MAYHAW,
2544,PARSLEY,
2545, ORIENTAL,
2546,POTATO (HARVEST AID),
2547,POTATOES (HARVEST AID),
2548,RADICCHIO,
2549,RAPE SEED,
2550,RHUBARB,
2551,SWISS CHARD,
2552,TEOSINTE,
2553,UPLAND CRESS,
2554,WINTER PURSLANE,
2555,BIG BLUE STEM,
2556,MISCANTHUS,
2557,CARROTS (STALE SEEDBED),
2558,GINKGO NUT,
2559,GLUFOSINATE AMMONIUM TOLERANT CANOLA GROWN FROM CERTIFIED SEED.,CANOLA
2560,GLUFOSINATE AMMONIUM TOLERANT CORN SEPARATOR ROWS IN HYBRID CANOLA SEED PRODUCTION,CORN
2561,CANARY SEED (FOR THE BIRDSEED MARKET),
2562,ESTABLISHED ALFALFA (SEED PRODUCTION ONLY),
2563,MINIMUM / ZERO TILL,
2564,INDUSTRIAL HEMP (EXCLUDING FINOLA),
2565,CROP GROUP 20: OILSEEDS,
2566,PERSIAN MELON TRANSPLANTED ONLY,
2567,PINEAPPLE MELON TRANSPLANTED ONLY,
2568,PUMPKIN  TRANSPLANTED ONLY,
2569,RUNNER BEAN,
2570,SANTA CLAUS MELON TRANSPLANTED ONLY,
2571,SCALLOP SQUASH TRANSPLANTED ONLY,
2572,SNAKE MELON (TRANSPLANTED ONLY),
2573,SNAP BEAN,
2574,SOUTHERN PEA,
2575,SPAGHETTI SQUASH TRANSPLANTED ONLY,
2576, SUMMER TRANSPLANTED ONLY,
2577, WINTER TRANSPLANTED ONLY,
2578,STRAIGHTNECK SQUASH TRANSPLANTED ONLY,
2579,ALSIKE SEEDLING CLOVER,
2580,ALTAI FESCUE,
2581,GREEN NEEDLEGRASS,
2582,LADINO SEEDLING CLOVER,
2583,PEAS - FIELD,PEAS
2584,PEAS - PROCESSING,PEAS
2585,RED SEEDLING CLOVER,
2586,WHITE DUTCH SEEDLING CLOVER,
2587,WILD WHITE SEEDLING CLOVER,
2588,CAMELINA (CAMELINA SATIVA),
2589,DRY BROAD BEANS,
2590,HEMP,
2591,SEEDLING ALSIKE,
2592,SEEDLING SAINFOIN,
2593,SEEDLING SWEET CLOVER,
2594,SEEDLING WHITE CLOVER,
2595,TRIBENURONMETHYL TOLERANT SUNFLOWERS,
2596,UTILITY LINES,
2597,CREEPING RED FESCUE SEEDLING / ESTABLISHED GROWN FOR SEED,
2598,CRESTED WHEAT GRASS SEEDLING / ESTABLISHED GROWN FOR SEED,WHEAT
2599,INTERMEDIATE WHEAT GRASS SEEDLING / ESTABLISHED GROWN FOR SEED,WHEAT
2600,MEADOW BROME GRASS SEEDLING / ESTABLISHED GROWN FOR SEED,
2601,SMOOTH BROME GRASS SEEDLING / ESTABLISHED GROWN FOR SEED,
2602,TIMOTHY SEEDLING / ESTABLISHED GROWN FOR SEED,
2603,FLAX (LINSEED),
2604,TURF (INCLUDING FAIRWAYS AND LAWNS),
2605,CANNING PEAS,PEAS
2606,FINE TURF (FAIRWAYS / LAWNS),
2607,GRASS PASTURES (ESTABLISHED),
2608,BENT GRASS,
2609,IMIDAZOLINONE-TOLERANT LENTILS,
2610,IMIDAZOLINONE-TOLERANT SUNFLOWER,
2611,ALFALFA GROWN FOR SEED,
2612,BIRDS FOOT TREFOIL (SEED PRODUCTION),
2613,CLOVER (ALSIKE) GROWN FOR SEED PRODUCTION,
2614,CLOVER (RED) GROWN FOR SEED PRODUCTION,
2615,CLOVER (SWEET) GROWN FOR SEED PRODUCTION,
2616,FENUGREEK (FOR SEED USES),
2617,FENUGREEK (FORAGE PRODUCTION),
2618,IMAZAMOX AND IMAZETHAPYR TOLERANT CANOLA QUALITY BRASSICA JUNCEA (E.G.,
2619,IMAZAMOX AND IMAZETHAPYR TOLERANT LENTILS (E.G.,
2620, CLEARFIELD® LENTIL VARIETIES),
2621,IMAZAMOX AND IMAZETHAPYR TOLERANT SUNFLOWERS (E.G.,
2622, CLEARFIELD® SUNFLOWERS VARIETIES),
2623,ALFALFA (NEWLY SEEDED PURESTAND FOR FORAGE OR SEED PRODUCTION,
2624,BEANS OF THE SPECIES PHASEOLUS VULGARIS,
2625, RED),
2626,GLYPHOSATE TOLERANT SOYBEANS (I.E.,
2627, VARIETIES WITH THE ROUNDUP READY® GENE),
2628,SOYBEANS GLUFOSINATE AMMONIUM TOLERANT (LIBERTYLINK®),
2629,FOREST / WOODLAND CONIFER RELEASE,
2630,FOREST / WOODLAND SITE PREPARATION,
2631,APPLES (ESTABLISHED FOR AT LEAST ONE YEAR),
2632,CONIFEROUS TREES,
2633,GRASS/LEGUME (ALFALFA,
2634, TREFOIL) PASTURES,
2635,GROUND COVERS,
2636,IRIS,
2637,LETTUCE (DIRECT SEEDED OR TRANSPLANTED),
2638,ORNAMENTAL NURSERY STOCK (CONTAINER GROWN),
2639,ORNAMENTALS (ESTABLISHED),
2640,PEARS (ESTABLISHED FOR AT LEAST ONE YEAR),
2641,PEONY,
2642,TREFOIL,
2643,TREFOIL GROWN FOR SEED,
2644,BLACK SPRUCE,
2645,CORN (HYBRID),CORN
2646,CORN (SILAGE),CORN
2647,DRY COMMON BEANS (PHASEOLUS VULGARIS SPECIES ONLY),
2648,JACK PINE,
2649,MUSTARD GREENS  TRANSPLANTED ONLY,
2650,NORWAY SPRUCE,
2651,OUTDOOR ORNAMENTALS (WOODY / HERBACEOUS),
2652,RED PINE,
2653,SNAP COMMON BEANS (YELLOW AND GREEN ONLY),
2654,SOUR CHERRY,
2655,SWEET CHERRY,
2656,TRANSPLANTED BROCCOLI,
2657,TRANSPLANTED CABBAGE,
2658,TRANSPLANTED CAULIFLOWER,
2659,TRANSPLANTED FIELD TOMATOES GROWN FOR FRESH MARKET,
2660,REDUCED TILLAGE (PRIOR TO SEEDING CEREALS),
2661,REDUCED TILLAGE FALLOW AND CROP-FREE LAND (SUMMER FALLOW AND STUBBLE),
2662,SUMMER FALLOW AND STUBBLE,
2663,SOUR CHERRY  TREES,
2664,CANOLA (HYBRID SEED PRODUCTION),CANOLA
2665,ENLIST E3 SOYBEAN,
2666,XTENDFLEX SOYBEAN SEEDS,
2667,MUSTARD CONDIMENT TYPE ONLY,
2668,PEAS - FIELD OR DRY,PEAS
2669,RIGHTS-OF-WAY FOR TRANSPORTATION CORRIDORS,
2670,RIGHTS-OF-WAY UTILITY CORRIDORS,
2671,STALE SEEDBED,
2672,ALFALFA VARIETIES WITH ROUNDUP READY TECHNOLOGY,
2673,BROME GRASS (FORAGE),
2674,CANOLA  (ROUNDUP READY),CANOLA
2675,CANOLA (ROUNDUP READY),CANOLA
2676,CORN (ROUNDUP READY),CORN
2677,HYBRID CORN SEED PRODUCTION USING THE RHS® SYSTEM WITH ROUNDUP READY 2 TECHNOLOGY,CORN
2678,MUSTARD (BROWN),
2679,MUSTARD (ORIENTAL),
2680,MUSTARD (YELLOW/WHITE),
2681,SOYBEAN(ROUNDUP READY),
2682,SUGAR BEETS (ROUNDUP READY),
2683,RED SKINNED POTATOES (RED POTATOES GROWN FOR FRESH MARKET ONLY),
2684,ESTABLISHED HYBRID BROMEGRASS,
2685,ESTABLISHED SLENDER WHEATGRASS,WHEAT
2686,SEEDLING HYBRID BROMEGRASS,
2687,IMAZAMOX TOLERANT WHEAT (WHEAT VARIETIES WITH THE IMAZAMOX TOLERANT TRAIT),WHEAT
2688,GARDEN BEETS,
2689,SASKATOON BERRY,
2690,SUMMERFAL,
2691,BALSAM FIR CHRISTMAS TREE STANDS OR PLANTATIONS,
2692,BARLEY (SPRING),BARLEY
2693,BEARING / NON-BEARING POME FRUIT (CG 11-09),
2694,CRANBERRRY,
2695,FIELD CORN (INCLUDING GLYPHOSATE TOLERANT FIELD CORN HYBRIDS),CORN
2696,INDUSTRIAL MANUFACTURING SITES,
2697,LOW MAINTENANCE ROUGH TURF AREAS,
2698,RANGELAND / GRASS PASTURE,
2699,RIGHTS-OF-WAY (COMMUNICATION LINES) AND ASSOCIATED STATIONS,
2700,RIGHTS-OF-WAY (PIPELINES) AND ASSOCIATED STATIONS,
2701,RIGHTS-OF-WAY (RAILROAD) AND ASSOCIATED STATIONS,
2702,RIGHTS-OF-WAY COMMUNICATION LINES AND ASSOCIATED STATIONS,
2703,RIGHTS-OF-WAY HYDRO AND ASSOCIATED STATIONS,
2704,RIGHTS-OF-WAY PIPELINES AND ASSOCIATED STATIONS,
2705,RIGHTS-OF-WAY RAILROAD AND ASSOCIATED STATIONS,
2706,SHELTERBELTS BUFFALOBERRY,
2707,SHELTERBELTS COLORADO SPRUCE,
2708,SHELTERBELTS OF ACUTE WILLOW,
2709,SHELTERBELTS OF VILLOSA LILAC,
2710,SHELTERBELTS WHITE SPRUCE,
2711,SHORT ROTATION INTENSIVE CULTURE CROPS OF POPLAR (POPULUS) SPECIES AND THEIR HYBRIDS,
2712,SPRING CANOLA CULTIVER 46A65,CANOLA
2713,SPRING CANOLA CULTIVER CYCLONE,CANOLA
2714,SPRING CANOLA CULTIVER EBONY,CANOLA
2715,SPRING CANOLA CULTIVER HYOLA 401,CANOLA
2716,SPRING CANOLA CULTIVER JEWEL,CANOLA
2717,TURNIP,
2718,CHOKECHERRIES,
2719,CORRIANDER,
2720,FIELD CORN SPIKE TO 5-LEAF CORN,CORN
2721,FIELD CORN SPIKE TO 50 CM STANDING CORN,CORN
2722,IMAZETHAPYR TOLERANT CANOLA (CANOLA VARIETIES WITH THE SMART TRAIT),CANOLA
2723,SWEET CORN (GLYPHOSATE TOLERANT),CORN
2724,IRRIGATION CANALS,
2725,CANOLA (BRASSICA NAPUS  ALL VARIETIES,CANOLA
2726, CLEARFIELD®,
2727, LIBERTYLINK®,
2728,  ROUNDUP READY®),
2729,GLYPHOSATE TOLERANT SOYBEAN (ROUNDUP READY®2 YIELD®) SOYBEAN,
2730,ESTABLISHED ALFALFA STANDS,
2731,GRASSES,
2732,LINSEED FLAX,
2733,SPRUCE SEEDLINGS,
2734,ALFALFA (FORAGE LEGUMES (DIRECT AND UNDERSEEDED)),
2735,BIRDSFOOT TREFOIL (FORAGE LEGUMES (DIRECT AND UNDERSEEDED)),
2736,ESTABLISHED LEGUMES (ALFALFA,
2737, EXCEPT EARLY MATURING VARIETIES,
2738,ESTABLISHED LEGUMES (CLOVER  (RED)),
2739,ESTABLISHED LEGUMES (CLOVER (ALSIKE),
2740,NON-CROPLAND/INDUSTRIAL SITES,
2741,NON-CROPLAND/INDUSTRIAL SITES  FOR USE ON RIGHTS-OF-WAY FOR TRANSPORTATION,
2742,NON-CROPLAND/INDUSTRIAL SITES IN AIRPORTS,
2743,NON-CROPLAND/INDUSTRIAL SITES INDUSTRIAL PARKS,
2744,NON-CROPLAND/INDUSTRIAL SITES RIGHTS-OF-WAY FOR UTILITY LINES,
2745,NON-CROPLAND/INDUSTRIAL SITES WASTELANDS,
2746,SMALL GRAINS UNDERSEEDED ALSIKE,
2747,SMALL GRAINS UNDERSEEDED LADINO CLOVER,
2748,SMALL GRAINS UNDERSEEDED WITH ALFALFA,
2749, (EXCEPT EARLY MATURING VARIETIES),
2750,SMALL GRAINS UNDERSEEDED WITH RED CLOVER,
2751,SPRUCE SEEDLINGS FOR REFORESTATION (SEEDLINGS THAT ARE 2 YEARS OR OLDER),
2752,TURF (FAIRWAYS),
2753,NON-CROP SITE,
2754,GREEN PASTURES,
2755, ALSIKE CLOVER,
2756, RED CLOVER),
2757,OATS AND MIXED GRAIN,
2758,ALONG FENCE ROWS,
2759,ESTABLISHED LEGUMES (ALFALFA),
2760,NON-CROP USE,
2761,WASTE LAND,
2762, ALSIKE / RED CLOVER),
2763,UNCROPPED LAND NON-GRAZED AREAS,
2764,OPTIMUM GAT CORN,CORN
2765,MESOTRIONE TOLERANT SOYBEAN,
2766,BURNING BUSH EUONYMOUS SPP.,
2767,  CAULIFLOWER,
2768,  BROCCOLI,
2769,CELERY MINERAL SOILS,
2770,CELERY MUCK SOILS,
2771,CROP GROUP 9  CUCURBIT VEGETABLES : CITRON MELON (CITRULLUS LANATUS VAR. CITROIDES),
2772, MUSKMELON (HYBRIDS AND/OR CULTIVARS OF CUCUMIS MELO) (INCLUDES TRUE CANTALOUPE,
2773, SANTA CLAUS MELON AND SNAKE MELON),
2774, CHAYOTE (FRUIT) (SECHIUM EDULE),
2775, CHINESE WAXGOURD (CHINESE PRESERVING MELON) (BENINCASA HISPIDA),
2776, GHERKIN (CUCUMIS ANGURIA),
2777, GOURD,
2778, EDIBLE (LAGENARIA SPP.) (INCLUDES HYOTAN,
2779, EDIBLE (LUFFA ACUTANGULA,
2780, L. CYLINDRICA) (INCLUDES HECHIMA,
2781, MOMORDICA SPP. (INCLUDES BALSAM APPLE,
2782, BALSAM PEAR,
2783, BITTER MELON),
2784, PUMPKIN (CUCURBITA SPP.),
2785, SUMMER (CUCURBITA PEPO VAR. MELOPEPO) (INCLUDES CROOKNECK SQUASH,
2786, WINTER (CUCURBITA MAXIMA,
2787, C. MOSCHATA) (INCLUDES BUTTERNUT SQUASH,
2788, HUBBARD SQUASH),
2789, (C. MIXTA,
2790, C. PEPO) (INCLUDES ACORN SQUASH,
2791,DAYLILY HEMEROCALLIS SPP.,
2792,EASTERN WHITE-CEDAR THUJA SPP.,
2793,FIELD TOMATOES FOR FRESH MARKET OR PROCESSING,
2794,HOSTA HOSTA SPP.,
2795,PARSNIP MINERAL SOILS,
2796,PARSNIP MUCK SOILS,
2797,RHODODENDRON RHODODENDRON SPP.,
2798,SWEET / SOUR CHERRY TREES,
2799,DRYLAND WINTER WHEAT,WHEAT
2800,GREEN ASH,
2801,NARROW-LEAVED LUPIN,
2802,SEA-BUCKTHORN,
2803,TRANSPLANTED TOMATOES,
2804,TRANSPLANTED TOMATOES (GROWN FOR FRESH MARKET ONLY),
2805,INDUSTRIAL NON-CROP AREAS,
2806,INDUSTRIAL NON-CROP AREAS (FENCE LINES),
2807,INDUSTRIAL NON-CROP AREAS (ROADSIDES),
2808,INDUSTRIAL NON-CROP AREAS (UTILITY RIGHTS OF WAY),
2809,INDUSTRIAL SITES - OUTDOOR (SUCH AS LUMBERYARDS,
2810, PIPELINE AND TANK FARMS,
2811, ETC.),
2812,SEWAGE DISPOSAL AREAS,
2813,UNCULTIVATED AGRICULTURAL AREAS - NON-CROP PRODUCING (SUCH AS FARMYARDS,
2814, FUEL STORAGE AREAS,
2815, NON-IRRIGATION DITCHBANKS,
2816, BARRIER STRIPS,
2817,CHOKE CHERRY,
2818,ASPARAGUS ESTABLISHED,
2819,CARAGANA SHELTERBELTS,
2820,CHOKECHERRY SHELTERBELTS,
2821,GREEN ASH SHELTERBELTS,
2822,POPLAR SHELTERBELTS,
2823,SASKATOON BERRY SHELTERBELTS,
2824,SEA-BUCKTHORN SHELTERBELTS,
2825,TRANSPLANTED TOMATOES (GROWN FOR PROCESSING ONLY),
2826,VILLOSA LILAC SHELTERBELTS,
2827,INDUSTRIAL AREAS (MILITARY BASES),
2828,INDUSTRIAL AREAS (RIGHTS-OF-WAY),
2829,INDUSTRIAL AREAS (INCLUDING RIGHTS-OF-WAY),
2830,OTHER NON-CROP AREAS,
2831,CLEARFIELD LENTILS1 (LENTIL VARIETIES WITH THE CLEARFIELD TRAIT),
2832,CLEARFIELD SUNFLOWERS1 (SUNFLOWER VARIETIES WITH THE CLEARFIELD TRAIT),
2833,WINTER WHEAT (1-LEAF STAGE OF GROWTH UP TO JUST PRIOR TO JOINTING),WHEAT
2834,SOYBEANS (INCLUDING GLYPHOSATE TOLERANT VARIETIES),
2835,ALFALFA SEEDLING,
2836,CANARY GRASS (FOR SEED PRODUCTION),
2837,ONION (DRY BULB ONLY),
2838,SEEDLING PERENNIAL RYEGRASS GROWN FOR SEED,
2839,SEEDLING GRASS SPECIES,
2840,BROWN CONDIMENT MUSTARD,
2841,SPRING CANOLA,CANOLA
2842,SPRING-SEEDED CANOLA,CANOLA
2843,LAURENTIAN RUTABAGA,
2844,SOYBEAN (GLYPHOSATE TOLERANT) WITH THE ROUNDUP READY GENE,
2845,ALFALFA (FORAGE),
2846,ALFALFA (SEED),
2847,ALSIKE CLOVER (FORAGE),
2848,ALSIKE CLOVER (SEED),
2849,MEADOW BROMEGRASS (FORAGE),
2850,MEADOW BROMEGRASS (SEED),
2851,PULSE CROPS (INCLUDING DRY BEAN,
2852, FABABEAN,
2853, LUPIN,
2854, SOYBEAN) (PRE-SEED),
2855,RED CLOVER (FORAGE),
2856,RED CLOVER (SEED),
2857,SMOOTH BROMEGRASS (FORAGE),
2858,SMOOTH BROMEGRASS (SEED),
2859,TIMOTHY (FORAGE),
2860,TIMOTHY (SEED),
2861,INBRED CORN LINES GROWN FOR SEED PRODUCTION,CORN
2862,EDIBLE BEANS,
2863,GRASS CROPS FOR FORAGE,
2864,GRASS CROPS FOR SEED PRODUCTION,
2865,WHITE SP,
2866,WINTER WHEAT OR FALL RYE,WHEAT
2867,TRITICALE (ALL VARIETIES),WHEAT
2868,BENTGRASS,
2869,CEREALS BARLEY (TWO-LEAF STAGE TO FLAG-LEAF STAGE),BARLEY
2870,CEREALS OATS (TWO-LEAF STAGE TO FLAG-LEAF STAGE),
2871,CEREALS RYE (TWO-LEAF STAGE TO FLAG-LEAF STAGE),
2872,CEREALS WHEAT (TWO-LEAF STAGE TO FLAG-LEAF STAGE),WHEAT
2873,FIELD CORN (45 CM HIGH,CORN
2874, BUT BEFORE THE BEGINNING OF TASSELLING),
2875,PASTURES AFTER GRAZING OR CUTTING,
2876,PEAS (THREE TO SIX EXPANDED LEAVES),PEAS
2877,SEEDLING ALFALFA GROWN FOR SEED PRODUCTION (3 TO 6 TRIFOLIATE STAGE),
2878,SEEDLING CLOVER ALSIKE (PRIMARY OR SPADE LEAF STAGE TO FOURTH-TRUE-LEAF STAGE),
2879,SEEDLING CLOVER DUTCH WHITE (PRIMARY OR SPADE LEAF STAGE TO FOURTH-TRUE-LEAF STAGE),
2880,SEEDLING CLOVER LADINO (PRIMARY OR SPADE LEAF STAGE TO FOURTH-TRUE-LEAF STAGE),
2881,SEEDLING CLOVER RED (PRIMARY OR SPADE LEAF STAGE TO FOURTH-TRUE-LEAF STAGE),
2882,SEEDLING CLOVER WILD WHITE (PRIMARY OR SPADE LEAF STAGE TO FOURTH-TRUE-LEAF STAGE),
2883,SEEDLING GRASSES ALTAI FESCUE (2-4 LEAF STAGE),
2884,SEEDLING GRASSES ALTAI WILD RYEGRASS (2-4 LEAF STAGE),
2885,SEEDLING GRASSES CREEPING RED FESCUE (2-4 LEAF STAGE),
2886,SEEDLING GRASSES CRESTED WHEATGRASS (2-4 LEAF STAGE),WHEAT
2887,SEEDLING GRASSES GREEN NEEDLEGRASS (2-4 LEAF STAGE),
2888,SEEDLING GRASSES INTERMEDIATE WHEATGRASS (2-4 LEAF STAGE),WHEAT
2889,SEEDLING GRASSES MEADOW BROMEGRASS (2-4 LEAF STAGE),
2890,SEEDLING GRASSES MEADOW FESCUE (2-4 LEAF STAGE),
2891,SEEDLING GRASSES NORTHERN WHEATGRASS (2-4 LEAF STAGE),WHEAT
2892,SEEDLING GRASSES PUBESCENT WHEATGRASS (2-4 LEAF STAGE),WHEAT
2893,SEEDLING GRASSES REED CANARY GRASS (2-4 LEAF STAGE),
2894,SEEDLING GRASSES RUSSIAN WILD RYEGRASS (2-4 LEAF STAGE),
2895,SEEDLING GRASSES SEEDLING SMOOTH BROMEGRASS (2-4 LEAF STAGE),
2896,SEEDLING GRASSES SLENDER WHEATGRASS (2-4 LEAF STAGE),WHEAT
2897,SEEDLING GRASSES STREAMBANK WHEATGRASS (2-4 LEAF STAGE),WHEAT
2898,SEEDLING GRASSES TALL FESCUE (2-4 LEAF STAGE),
2899,SEEDLING GRASSES TALL WHEATGRASS (2-4 LEAF STAGE),WHEAT
2900,SEEDLING GRASSES TIMOTHY (2-4 LEAF STAGE),
2901,SEEDLING GRASSES WESTERN WHEATGRASS (2-4 LEAF STAGE),WHEAT
2902,INDUSTRIAL VEGETATION MANAGEMENT AREAS,
2903,PERMANENT PERENNIAL GRASS COVER AREAS,
2904,ALFALFA GROWN FOR SEED (ESTABLISHED) 1 TO 4 LEAF STAGE,
2905,ALFALFA GROWN FOR SEED (SEEDLING) 1 TO 4 LEAF STAGE,
2906,ALSIKE CLOVER (SEED PRODUCTION ONLY) 1 TO 4 LEAF STAGE,
2907,BIRDS FOOT TREFOIL (SEED PRODUCTION ONLY) 1 TO 4 LEAF STAGE,
2908,CLEARFIELD LENTILS (VARIETIES WITH THE CLEARFIELD TRAIT) 1-9 NODE STAGE,
2909,CLEARFIELD SUNFLOWERS (WITH CLEARFIELD TRAIT) 2 TO 8 TRUE LEAF STAGE,
2910,FABA BEANS 1 TO 6 LEAF STAGE,
2911,FENUGREEK 1 TO 4 LEAF STAGE,
2912,PEAS (FIELD) 1 TO 6 TRUE LEAF STAGE,PEAS
2913,RED CLOVER (SEED PRODUCTION ONLY) 1 TO 4 LEAF STAGE,
2914,SAINFOIN (SEEDLING,
2915, SEED PRODUCTION) 1 TO 4 LEAF STAGE,
2916,SEEDLING CLOVER (SEED PRODUCTION ONLY) 1 TO 4 LEAF STAGE,
2917,SOYBEANS 1 TO 3 TRUE LEAF STAGE,
2918,SWEET CLOVER (SEED PRODUCTION ONLY) 1 TO 4 LEAF STAGE,
2919,CLEARFIELD LENTILS 1-9 NODE STAGE,
2920,FABA BEANS 1-6 LEAF STAGE,
2921,FIELD PEAS 1-6 TRUE LEAF STAGE,PEAS
2922,SOYBEANS 1-3 TRUE LEAF STAGE,
2923,TURFGRASS (FESCUES - FESTUCA SPP.),
2924,TURFGRASS (KENTUCKY BLUEGRASS - POA PRATENSIS),
2925,CORN (USED AS SEPARATOR ROWS IN HYBRID CANOLA SEED PRODUCTION),CORN
2926,GROUP 14-11: TREE NUTS,
2927, INCLUDING: ALMOND,
2928,  BEECH NUT,
2929, BUTTERNUT,
2930,  CHESTNUT,
2931,  FILBERT (HAZELNUT),
2932,  HICKORY NUT,
2933,  PECAN,
2934, - WALNUT,
2935, - CHINQUAPIN NUT,
2936, BUR OAK NUT,
2937,  GINGKO NUT,
2938,  HEARTNUT,
2939,  JAPANESE HORSE CHESTNUT,
2940, -PINE NUT,
2941,NON-CROP LANDS AND INDUSTRIAL SITES,
2942,"LOWBUSH 	BLUEBERRIES",
2943,INDUSTRIAL VEGETATION MANAGEMENT AREAS.,
2944,HIGHWAY RIGHTS-OFWAY,
2945,PIPELINE  RIGHTS-OFWAY,
2946,RANGELAND GRASSES,
2947,UTILITY,
2948,WINTER WHEAT (FALL),WHEAT
2949,WINTER WHEAT (SPRING),WHEAT
2950,GREEN ONIONS ON MUCK SOIL,
2951,ONION (DRY BULB) ON MUCK SOIL,
2952,SHALLOT (DRY BULB) ON MUCK SOIL,
2953,CANOLA (GLUFOSINATE AMMONIUM TOLERANT  VARIETIES OR HYBRIDS),CANOLA
2954, GRAIN AND SWEET STEM),
2955,FIELD CORN GROWN FOR SEED,CORN
2956,GRAIN SORGHUM (MILO),
2957,PROCESSING FIELD TOMATOES,
2958,THIFENSULFURON METHYL TOLERANT CAMELINA (SES1154HR),
2959,TIMOTHY SEEDLING OR ESTABLISHED (SEED PRODUCTION ONLY,
2960,CALENDULA,
2961,CASTOR OIL PLANT,
2962,CHINESE TALLOWTREE,
2963,CROP SUBGROUP 20A (CANADA GROWN) RAPESEEDS,
2964,EUPHORBIA,
2965,EVENING PRIMROSE,
2966,JOJOBA,
2967,NIGER SEED,
2968,POST-HARVEST BURNDOWN - ALL CROPS LISTED ON THIS LABEL,
2969,ROSE HIP,
2970,TALLOWWOOD,
2971,TEA OIL PLANT,
2972,VERNONIA,
2973,TIMOTHY SEEDLING AND ESTABLISHED FOR SEED PRODUCTION,
2974,ALSIKE CLOVER - ESTABLISHED,
2975,ALSIKE CLOVER - SEEDLING,
2976,BASIL (FRESH AND DRIED),
2977,BEANS (ADZUKI,
2978, FABA,
2979, LIMA,
2980, MUNG),
2981,BEANS (ALL DRY COMMON),
2982,BEANS (OTEBO),
2983,BEANS (SNAP COMMON),
2984,BEARING FRUIT TREES - APPLE,
2985,BEARING FRUIT TREES - APRICOT,
2986,BEARING FRUIT TREES - PEACH,
2987,BEARING FRUIT TREES - PEAR,
2988,BEARING FRUIT TREES - PLUM,
2989,BEARING FRUIT TREES - SWEET AND SOUR CHERRY,
2990,BLUEBERRIES (HIGHBUSH),
2991,CANOLA (GLUFOSINATE TOLERANT VARIETIES),CANOLA
2992,CANOLA (IMAZETHAPYR AND IMAZAMOX TOLERANT (E.G. CANOLA VARIETIES WITH THE CLEARFIELD TRAIT)),CANOLA
2993,CANOLA (TRIAZINE TOLERANT VARIETIES),CANOLA
2994,CHICORY (CHICORIUM INTYBUS SPECIES ONLY),
2995,CICER MILKVETCH - ESTABLISHED,
2996,CICER MILKVETCH - SEEDLING,
2997,CREEPING RED FESCUE (FOR SEED PRODUCTION ONLY),
2998,GRAPE VINES (BEARING PLANTINGS,
2999, AND NON-BEARING 1ST AND 2 ND YEAR PLANTINGS),
3000,LETTUCE (DIRECT SEEDED - HEAD,
3001, LEAF AND ROMAINE),
3002,LETTUCE (TRANSPLANTED - HEAD,
3003,LUPINS (DRY FOR GRAIN) - GRAIN,
3004, WHITE,
3005, WHITE SWEET,
3006,MINT CROPS (SPEARMINT AND PEPPERMINT),
3007, INCLUDING YELLOW AND ORIENTAL (CONDIMENT AND OILSEED TYPES),
3008,NAPA CABBAGE,
3009,NON-BEARING FRUIT TREES (APPLE),
3010,NON-BEARING FRUIT TREES (PEACH),
3011,NON-BEARING FRUIT TREES (PLUM),
3012,NON-BEARING ORCHARDS AND SHELTERBELTS OF CHOKE CHERRY,
3013,ONION (DRY BULB),
3014,ONION - GREEN,
3015,PEAS - FRESH PROCESSING (NOT FRESH EDIBLE PEA PODS),PEAS
3016,PEPPERS (FIELD),
3017,PEPPERS (GREEN),
3018,POPULUS SPECIES - NEW AND ESTABLISHED PLANTINGS OF POPULUS SPECIES (POPLAR AND ASPENS) AND THEIR HYBRIDS,
3019, INCLUDING SHORT ROTATION INTENSIVE CULTURE (SRIC) POPULUS CROPS,
3020, SEEDLINGS AND ROOTED CUTTINGS,
3021,POTATOES (SWEET),
3022,PUM,
3023,CANOLA (INCLUDING ROUNDUP READY VARIETIES),CANOLA
3024,FORAGE GRASSES / LEGUMES INCLUDING SEED PRODUCTION,
3025,ROUNDUP READY ALFALFA,
3026,ROUNDUP READY2 YIELD SOYBEAN,
3027,TRUFLEX ROUNDUP READY CANOLA VARIETIES,CANOLA
3028,TRUFLEX ROUNDUP READY HYBRID CANOLA SEED PRODUCTION,CANOLA
3029,CREEPING RED FESCUE GROWN FOR FORAGE / SEED PRODUCTION,
3030,OATS (TANK MIX),
3031,ALL NON-CROPLAND,
3032,LOWBUSH BLUEBERRY NON-BEARING YEAR,
3033,NORTH AMERICAN GINSENG NEW GARDENS,
3034,PASTURE RENOVATION SEEDING OF LEGUMES,
3035,PETROLEUM PUMPING INSTALLATIONS,
3036,PINE  PINUS SPP.,
3037,ROUNDUP READY SOYBEAN,
3038,ROUNDUP READY SUGAR BEETS,
3039,YEW  TAXUS SPP.,
3040,SPRING WHEAT EXTRA STRONG (UTILITY),WHEAT
